Airport,Airport Code,Year,Month,TOTAL
Seattle/Tacoma International,SEA,2015,1,"1,335,489"
Seattle/Tacoma International,SEA,2015,2,"1,259,527"
Seattle/Tacoma International,SEA,2015,3,"1,547,948"
Seattle/Tacoma International,SEA,2015,4,"1,528,087"
Seattle/Tacoma International,SEA,2015,5,"1,675,037"
Seattle/Tacoma International,SEA,2015,6,"1,917,125"
Seattle/Tacoma International,SEA,2015,7,"2,087,936"
Seattle/Tacoma International,SEA,2015,8,"2,144,512"
Seattle/Tacoma International,SEA,2015,9,"1,744,152"
Seattle/Tacoma International,SEA,2015,10,"1,668,639"
Seattle/Tacoma International,SEA,2015,11,"1,533,858"
Seattle/Tacoma International,SEA,2015,12,"1,684,021"
Seattle/Tacoma International,SEA,2015,TOTAL,"20,126,331"
Seattle/Tacoma International,SEA,2016,1,"1,459,252"
Seattle/Tacoma International,SEA,2016,2,"1,408,886"
Seattle/Tacoma International,SEA,2016,3,"1,708,542"
Seattle/Tacoma International,SEA,2016,4,"1,663,201"
Seattle/Tacoma International,SEA,2016,5,"1,831,887"
Seattle/Tacoma International,SEA,2016,6,"2,101,318"
Seattle/Tacoma International,SEA,2016,7,"2,243,798"
Seattle/Tacoma International,SEA,2016,8,"2,298,205"
Seattle/Tacoma International,SEA,2016,9,"1,889,109"
Seattle/Tacoma International,SEA,2016,10,"1,777,294"
Seattle/Tacoma International,SEA,2016,11,"1,680,972"
Seattle/Tacoma International,SEA,2016,12,"1,785,850"
Seattle/Tacoma International,SEA,2016,TOTAL,"21,848,314"
Seattle/Tacoma International,SEA,2017,1,"1,558,129"
Seattle/Tacoma International,SEA,2017,2,"1,441,782"
Seattle/Tacoma International,SEA,2017,3,"1,816,478"
Seattle/Tacoma International,SEA,2017,4,"1,777,535"
Seattle/Tacoma International,SEA,2017,5,"1,920,389"
Seattle/Tacoma International,SEA,2017,6,"2,131,941"
Seattle/Tacoma International,SEA,2017,7,"2,268,049"
Seattle/Tacoma International,SEA,2017,8,"2,348,789"
Seattle/Tacoma International,SEA,2017,9,"1,931,644"
Seattle/Tacoma International,SEA,2017,10,"1,854,492"
Seattle/Tacoma International,SEA,2017,11,"1,737,931"
Seattle/Tacoma International,SEA,2017,12,"1,816,489"
Seattle/Tacoma International,SEA,2017,TOTAL,"22,603,648"
Seattle/Tacoma International,SEA,2018,1,"1,594,702"
Seattle/Tacoma International,SEA,2018,2,"1,532,393"
Seattle/Tacoma International,SEA,2018,3,"1,906,830"
Seattle/Tacoma International,SEA,2018,4,"1,888,553"
Seattle/Tacoma International,SEA,2018,5,"2,045,864"
Seattle/Tacoma International,SEA,2018,6,"2,304,784"
Seattle/Tacoma International,SEA,2018,7,"2,474,122"
