Airport,Airport Code,Year,Month,TOTAL
Washington Dulles International,IAD,2017,9,"915,210"
Washington Dulles International,IAD,2017,10,"963,535"
Washington Dulles International,IAD,2017,11,"877,280"
Washington Dulles International,IAD,2017,12,"900,528"
Washington Dulles International,IAD,2017,TOTAL,"10,996,953"
Washington Dulles International,IAD,2018,1,"758,135"
Washington Dulles International,IAD,2018,2,"676,956"
Washington Dulles International,IAD,2018,3,"915,490"
Washington Dulles International,IAD,2018,4,"915,065"
Washington Dulles International,IAD,2018,5,"1,027,741"
Washington Dulles International,IAD,2018,6,"1,145,629"
Washington Dulles International,IAD,2018,7,"1,153,042"
Washington Dulles International,IAD,2018,8,"1,119,717"
Washington Dulles International,IAD,2018,9,"933,004"
Washington Dulles International,IAD,2018,10,"1,046,524"
Washington Dulles International,IAD,2018,11,"960,637"
Washington Dulles International,IAD,2018,12,"960,325"
Washington Dulles International,IAD,2018,TOTAL,"11,612,265"
Washington Dulles International,IAD,2019,1,"778,088"
Washington Dulles International,IAD,2019,2,"700,016"
Washington Dulles International,IAD,2019,3,"930,764"
Washington Dulles International,IAD,2019,4,"982,608"
Washington Dulles International,IAD,2019,5,"1,081,329"
Washington Dulles International,IAD,2019,6,"1,172,732"
Washington Dulles International,IAD,2019,7,"1,171,623"
Washington Dulles International,IAD,2019,8,"1,111,737"
Washington Dulles International,IAD,2019,9,"947,421"
Washington Dulles International,IAD,2019,10,"1,025,783"
Washington Dulles International,IAD,2019,11,"943,002"
Washington Dulles International,IAD,2019,12,"1,022,974"
Washington Dulles International,IAD,2019,TOTAL,"11,868,077"
Washington Dulles International,IAD,2020,1,"823,079"
Washington Dulles International,IAD,2020,2,"735,941"
Washington Dulles International,IAD,2020,3,"411,287"
Washington Dulles International,IAD,2020,4,"39,608"
Washington Dulles International,IAD,2020,5,"84,541"
Washington Dulles International,IAD,2020,6,"129,878"
Washington Dulles International,IAD,2020,7,"195,541"
Washington Dulles International,IAD,2020,8,"232,812"
Washington Dulles International,IAD,2020,9,"253,754"
Washington Dulles International,IAD,2020,10,"330,208"
Washington Dulles International,IAD,2020,11,"295,326"
Washington Dulles International,IAD,2020,12,"348,451"
Washington Dulles International,IAD,2020,TOTAL,"3,880,426"
Washington Dulles International,IAD,2021,1,"281,758"
Washington Dulles International,IAD,2021,2,"243,995"
Washington Dulles International,IAD,2021,3,"378,156"
Washington Dulles International,IAD,2021,4,"413,538"
Washington Dulles International,IAD,2021,5,"521,775"
Washington Dulles International,IAD,2021,6,"644,439"
Washington Dulles International,IAD,2021,7,"819,249"
Washington Dulles International,IAD,2021,8,"867,952"
Washington Dulles International,IAD,2021,9,"699,775"
Washington Dulles International,IAD,2021,10,"781,897"
Washington Dulles International,IAD,2021,11,"737,872"
Washington Dulles International,IAD,2021,12,"789,479"
Washington Dulles International,IAD,2021,TOTAL,"7,179,885"
Washington Dulles International,IAD,2022,1,
Washington Dulles International,IAD,2022,2,
Washington Dulles International,IAD,2022,3,
Washington Dulles International,IAD,2022,TOTAL,0
