Airport,Airport Code,Year,Month,TOTAL
John F. Kennedy International,JFK,2021,7,"1,807,935"
John F. Kennedy International,JFK,2021,8,"1,715,514"
John F. Kennedy International,JFK,2021,9,"1,376,225"
John F. Kennedy International,JFK,2021,10,"1,463,081"
John F. Kennedy International,JFK,2021,11,"1,723,512"
John F. Kennedy International,JFK,2021,12,"1,987,386"
John F. Kennedy International,JFK,2021,TOTAL,"15,285,107"
John F. Kennedy International,JFK,2022,1,
John F. Kennedy International,JFK,2022,2,
John F. Kennedy International,JFK,2022,3,
John F. Kennedy International,JFK,2022,TOTAL,0
